IdealT,OtsuT,KittlerT,LloydT,SungT,RidlerT,HuangT,RameshT,Li1T,Li2T,BrinkT,KapurT,SahooT,ShanbhagT,YenT,TsaiT
0,0.284314,0.005882,0.125273,0.335294,0.288551,0.092157,0.711765,0.175138,0.241176,0.382353,0.794118,0.770602,0.5,0.817647,0.382353
0.4941176,0.531373,0.982353,0.402173,0.664706,0.53843,0.692157,0.539216,0.389389,0.460784,0.507843,0.072549,0.33051,0.209804,0.072549,0.503922
0.5372549,0.637255,0.660784,0.588149,0.652941,0.637103,0.64902,0.370588,0.632811,0.633333,0.507843,0.668627,0.657351,0.55098,0.672549,0.64902
0.2,0.539216,0.64902,0.310999,0.601961,0.54089,0.547059,0.515686,0.499816,0.519608,0.503922,0.241176,0.632474,0.190196,0.680392,0.523529
0.1882353,0.245098,0.237255,0.163269,0.264706,0.24968,0.292157,0.394118,0.237702,0.241176,0.366667,0.24902,0.252262,0.229412,0.252941,0.260784
0.1882353,0.421569,0.209804,0.003922,0.44902,0.426448,0.492157,0.456863,0.379055,0.398039,0.366667,0.343137,0.341906,0.409804,0.292157,0.413725
0.6352941,0.590196,0.64902,0.552859,0.633333,0.593512,0.578431,0.378431,0.584534,0.586275,0.535294,0.645098,0.64454,0.390196,0.645098,0.633333
0,0.456863,0.005882,0.280679,0.672549,0.459906,0.3,0.692157,0.268229,0.378431,0.660784,0.82549,0.846439,0.876471,0.876471,0.613725
0,0.260784,0.005882,0.261659,0.260784,0.261659,0.256863,0.617647,0.253349,0.256863,0.362745,0.656863,0.637264,0.264706,0.680392,0.256863
0.5254902,0.798039,0.994118,0.82376,0.903922,0.799037,0.837255,0.405882,0.783826,0.790196,0.488235,0.543137,0.543137,0.323529,0.543137,0.676471
0.7333333,0.723529,0.864706,0.540727,0.813725,0.726569,0.805882,0.566667,0.696585,0.707843,0.609804,0.805882,0.821775,0.378431,0.845098,0.680392
0.2,0.370588,0.468627,0.263442,0.441176,0.371781,0.358824,0.401961,0.302439,0.343137,0.476471,0.492157,0.50175,0.598039,0.503922,0.488235
0.7098039,0.598039,0.958824,0.401805,0.962745,0.814795,0.892157,0.621569,0.800465,0.543137,0.778431,0.782353,0.775052,0.213725,0.782353,0.786275
